id,playerID,season,gamesPlayed,gamesStarted,wins,losses,otLosses,goalsAgainst,goalsAgainstAvg,savePctg,shotsAgainst,shutouts,created_at,updated_at
1,8480843,20212022,4,3,1,2,0,10,2.978407,0.907407,108,0,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
2,8480843,20222023,19,17,4,10,3,67,3.782758,0.901325,679,0,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
3,8480843,20232024,44,38,14,23,3,129,3.332161,0.901527,1310,1,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
4,8476434,20192020,51,51,20,26,5,149,2.998709,0.904,1552,1,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
5,8476434,20202021,35,35,9,19,7,101,2.984487,0.903,1042,3,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
6,8476434,20212022,56,56,18,26,11,172,3.189533,0.903857,1789,1,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
7,8476434,20222023,53,52,14,31,8,200,3.993455,0.899143,1983,1,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
8,8476434,20232024,46,44,13,27,2,151,3.537013,0.887565,1343,0,2024-06-11 02:45:58 UTC,2024-06-11 02:45:58 UTC
9,8478971,20212022,3,3,1,2,0,11,3.71308,0.879121,91,0,2024-06-11 02:46:04 UTC,2024-06-11 02:46:04 UTC
10,8478971,20222023,27,26,6,13,8,89,3.365546,0.907292,960,1,2024-06-11 02:46:04 UTC,2024-06-11 02:46:04 UTC
11,8478971,20232024,50,48,23,21,3,136,2.911236,0.906913,1461,6,2024-06-11 02:46:04 UTC,2024-06-11 02:46:04 UTC
12,8478872,20212022,52,49,13,32,3,170,3.678017,0.898143,1669,1,2024-06-11 02:46:04 UTC,2024-06-11 02:46:04 UTC
13,8478872,20222023,50,49,18,24,6,168,3.4276,0.9,1670,3,2024-06-11 02:46:04 UTC,2024-06-11 02:46:04 UTC
