playerID,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,teamID,created_at,updated_at,offensiveRating,defensiveRating
8484153,https://assets.nhle.com/mugs/nhl/20242025/ANA/8484153.png,Leo,Carlsson,91,C,L,75,194,2004-12-26,SWE,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8481538,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481538.png,Judd,Caulfield,75,R,R,75,207,2001-03-19,USA,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8482118,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482118.png,Sam,Colangelo,64,R,R,74,205,2001-12-26,USA,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8477952,https://assets.nhle.com/mugs/nhl/20242025/ANA/8477952.png,Robby,Fabbri,13,C,L,73,185,1996-01-22,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8483444,https://assets.nhle.com/mugs/nhl/20242025/ANA/8483444.png,Nathan,Gaucher,41,C,R,75,207,2003-11-06,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8483445,https://assets.nhle.com/mugs/nhl/20242025/ANA/8483445.png,Cutter,Gauthier,61,L,L,74,189,2004-01-19,SWE,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8478424,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478424.png,Jansen,Harkins,38,C,L,74,197,1997-05-23,USA,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8477527,https://assets.nhle.com/mugs/nhl/20242025/ANA/8477527.png,Ross,Johnston,44,L,L,77,234,1994-02-18,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8473986,https://assets.nhle.com/mugs/nhl/20242025/ANA/8473986.png,Alex,Killorn,17,L,L,73,194,1989-09-14,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8481517,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481517.png,Brett,Leason,20,R,R,77,218,1999-04-30,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8482925,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482925.png,Josh,Lopina,85,C,R,74,199,2001-02-16,USA,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8480806,https://assets.nhle.com/mugs/nhl/20242025/ANA/8480806.png,Isac,Lundestrom,21,C,L,72,193,1999-11-06,SWE,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
8476934,https://assets.nhle.com/mugs/nhl/20242025/ANA/8476934.png,Brock,McGinn,26,L,L,72,187,1994-02-02,CAN,24,2024-08-21 01:26:07 UTC,2024-08-21 01:26:07 UTC,,
